timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740008941.991022	327	300	4432373.160215635	4374027.31646693	4374027.31646693
1740008944.394186	328	300	4422362.2835273165	4371490.231809963	4371490.231809963
1740008946.9269407	329	300	4419935.143025854	4372707.49106793	4371490.231809963
1740008949.350758	330	300	4408612.905630286	4357321.779881189	4357321.779881189
1740008951.8557658	331	300	4394030.4254656425	4353119.153518054	4353119.153518054
1740008954.510852	332	300	4382542.972038212	4348717.289552586	4348717.289552586
1740008957.0141122	333	300	4415284.68258788	4346465.194940112	4346465.194940112
1740008959.4624968	334	300	4367161.834615539	4342568.483854558	4342568.483854558
1740008961.9061677	335	300	4370342.745301866	4339411.732212171	4339411.732212171
1740008964.370873	336	300	4383412.95724624	4340437.949159731	4339411.732212171
1740008966.8609715	337	300	4371418.410223585	4340037.6002191985	4339411.732212171
1740008969.4286215	338	300	4367685.262553146	4340037.6002191985	4339411.732212171
1740008971.9834678	339	300	4386172.918813632	4340037.6002191985	4339411.732212171
1740008974.5465484	340	300	4373059.151855921	4333819.372679152	4333819.372679152
1740008977.1086388	341	300	4363880.759249239	4332696.861389764	4332696.861389764
1740008979.5586138	342	300	4367223.752592056	4331413.288794278	4331413.288794278
1740008982.0707262	343	300	4370900.414169829	4327620.922678274	4327620.922678274
1740008984.645768	344	300	4377334.502404189	4323300.457995643	4323300.457995643
1740008987.0794027	345	300	4363921.948855402	4323300.457995643	4323300.457995643
1740008989.6157818	346	300	4364752.524912985	4319959.3829860715	4319959.3829860715
1740008992.173017	347	300	4373685.194604709	4312521.255027418	4312521.255027418
1740008994.6933727	348	300	4352183.957996166	4304564.9563165195	4304564.9563165195
1740008997.3372405	349	300	4360043.591506462	4304549.197954317	4304549.197954317
1740008999.9380991	350	300	4355604.960303865	4296140.621087132	4296140.621087132
1740009002.533562	351	300	4362324.940662596	4296202.857596019	4296140.621087132
1740009005.00489	352	300	4347659.802587864	4292359.580954663	4292359.580954663
1740009007.38723	353	300	4369797.039511726	4273583.408544888	4273583.408544888
1740009009.863956	354	300	4347467.447421846	4273583.408544888	4273583.408544888
1740009012.3992884	355	300	4339234.158178402	4282289.579987188	4273583.408544888
1740009014.969263	356	300	4336023.430331379	4275307.314165617	4273583.408544888
1740009017.4803798	357	300	4319038.6231093975	4275307.314165617	4273583.408544888
1740009019.9153795	358	300	4334300.40134795	4268820.817097714	4268820.817097714
1740009022.3971138	359	300	4314292.539154815	4265606.2825787775	4265606.2825787775
1740009024.9422178	360	300	4313400.756757576	4260680.823582373	4260680.823582373
1740009027.5033007	361	300	4305838.682601709	4255567.096810895	4255567.096810895
1740009030.12369	362	300	4291278.483302094	4254874.042317941	4254874.042317941
1740009032.5982637	363	300	4301785.589834834	4252165.612825602	4252165.612825602
1740009035.056132	364	300	4283214.387949575	4242922.144802259	4242922.144802259
1740009037.5800931	365	300	4281567.055260144	4239713.548875029	4239713.548875029
1740009040.1853342	366	300	4277448.041900308	4229267.765680311	4229267.765680311
1740009042.6099405	367	300	4264476.388479522	4229030.477091166	4229030.477091166
1740009045.1631305	368	300	4283754.944202193	4224323.737517549	4224323.737517549
1740009047.8353195	369	300	4266950.76351959	4214092.771367238	4214092.771367238
1740009050.2765756	370	300	4270976.363664102	4214083.669468855	4214083.669468855
